Protein Accessions,HexNAc,PSM
Q9Y6X0,1,3
Q9Y6V0,1,4
Q9Y6R4,1,6
Q9Y6R4,1,6
Q9Y6Q5,1,1
Q9Y6N7,1,1
Q9Y6N1,1,1
Q9Y6F6,1,1
Q9Y6D5,1,2
Q9Y6A5,1,1
Q9Y6A5,1,1
Q9Y692,1,1
Q9Y663,1,1
Q9Y618,1,1
Q9Y618,1,1
Q9Y5Z4,1,2
Q9Y5L3,1,2
Q9Y5K6,1,2
Q9Y5K1,1,1
Q9Y5H4,1,1
Q9Y5B0,1,2
Q9Y566,1,1
Q9Y566,1,1
Q9Y520,1,1
Q9Y519,1,1
Q9Y4Y9,1,1
Q9Y4R8,1,2
Q9Y4K4,1,2
Q9Y4K1,1,1
Q9Y4G8,1,3
Q9Y4G2,1,3
Q9Y4E5,1,1
Q9Y4D8,1,2
Q9Y4D8,1,2
Q9Y4C2,1,1
Q9Y4B5,1,1
Q9Y4B4,1,1
Q9Y4B4,1,1
Q9Y496,1,3
Q9Y467,1,2
Q9Y3R5,1,1
Q9Y2T7,1,60
Q9Y2M5,1,1
Q9Y2L6,1,3
Q9Y2L6,1,3
Q9Y2K2,1,2
Q9Y2J2,1,1
Q9Y2H5,1,1
Q9Y2G4,1,13
Q9Y259,1,4
Q9Y238,1,17
Q9Y228,1,1
Q9UQF2,1,1
Q9UQ84,1,1
Q9UQ52,1,2
Q9UQ35,1,1
Q9UQ35,1,1
Q9UQ35,1,1
Q9UPY3,1,2
Q9UPW5,1,4
Q9UPU5,1,6
Q9UPU5,1,6
Q9UPT5,1,1
Q9UPQ9,1,2
Q9UPP2,1,7
Q9UPP1,1,2
Q9UPM6,1,3
Q9UPA5,1,1
Q9UPA5,1,1
Q9UNN5,1,1
Q9UNK9,1,1
Q9UNE7,1,1
Q9UMR3,1,1
Q9ULU8,1,1
Q9ULU8,1,1
Q9ULU8,1,1
Q9ULT0,1,2
Q9ULL8,1,1
Q9ULL0,1,2
Q9ULL0,1,2
Q9ULH7,1,1
Q9ULE3,1,1
Q9ULD0,1,1
Q9ULC6,1,5
Q9ULA0,1,1
Q9UL36,1,1
Q9UKZ4,1,1
Q9UKY7,1,3
Q9UKN7,1,1
Q9UKN1,1,2
Q9UKI9,1,1
Q9UKI2,1,3
Q9UKG1,1,1
Q9UKB5,1,2
Q9UJW2,1,1
Q9UJ41,1,4
Q9UIW0,1,1
Q9UIW0,1,1
Q9UIB8,1,2
Q9UI40,1,1
Q9UHV7,1,1
Q9UHV5,1,1
Q9UHL4,1,2
Q9UGI6,1,4
Q9UBS5,1,2
Q9UBS0,1,8
Q9UBG0,1,1
Q9UBC0,1,1
Q9P2V4,1,1
Q9P2H5,1,1
Q9P2F8,1,2
Q9P2D8,1,3
Q9P2D1,1,1
Q9P2D1,1,1
Q9P260,1,3
Q9P260,1,3
Q9P225,1,7
Q9P212,1,2
Q9P206,1,1
Q9P0L0,1,1
Q9P035,1,2
Q9NZU7,1,1
Q9NZR2,1,1
Q9NZR2,1,1
Q9NZQ7,1,2
Q9NZH0,1,1
Q9NZ53,1,1
Q9NZ08,1,2
Q9NYY8,1,1
Q9NYV7,1,1
Q9NYV6,1,1
Q9NYQ7,1,1
Q9NYQ6,1,1
Q9NYK1,1,1
Q9NYJ8,1,6
Q9NYF0,1,1
Q9NY91,1,1
Q9NXG6,1,1
Q9NWT8,1,7
Q9NWR8,1,1
Q9NVX2,1,2
Q9NVX0,1,1
Q9NUQ6,1,2
Q9NUI1,1,1
Q9NUA8,1,2
Q9NU39,1,1
Q9NU39,1,1
Q9NT99,1,1
Q9NSC7,1,7
Q9NSC7,1,7
Q9NSC5,1,1
Q9NS40,1,1
Q9NR99,1,1
Q9NR80,1,7
Q9NR48,1,3
Q9NR09,1,1
Q9NR09,1,1
Q9NR09,1,1
Q9NQW7,1,4
Q9NQW5,1,2
Q9NQW1,1,3
Q9NQ76,1,1
Q9HCM4,1,4
Q9HCM3,1,4
Q9HCE9,1,1
Q9HCE0,1,1
Q9HCB6,1,3
Q9HC84,1,1
Q9HC84,1,1
Q9HC84,1,1
Q9HC84,1,1
Q9HC84,1,1
Q9HC52,1,1
Q9HBL0,1,1
Q9HBG7,1,1
Q9HAW0,1,1
Q9HAS3,1,1
Q9H9Y6,1,5
Q9H9P5,1,1
Q9H9A7,1,1
Q9H910,1,1
Q9H8S5,1,2
Q9H7U1,1,1
Q9H7F0,1,1
Q9H6P5,1,3
Q9H4S2,1,1
Q9H4Q3,1,1
Q9H4L5,1,5
Q9H4I0,1,23
Q9H4B8,1,1
Q9H4B6,1,1
Q9H4A9,1,1
Q9H3M9,1,3
Q9H347,1,1
Q9H2P9,1,1
Q9H2E6,1,1
Q9H2D6,1,1
Q9H270,1,2
Q9H251,1,1
Q9H227,1,5
Q9H1D0,1,2
Q9H1A4,1,1
Q9H159,1,1
Q9H0F6,1,1
Q9H0E9,1,3
Q9H040,1,1
Q9GZQ6,1,1
Q9C0J8,1,5
Q9C0G6,1,1
Q9C0G6,1,1
Q9C0G6,1,1
Q9C0F0,1,2
Q9C0C2,1,1
Q9C0B2,1,1
Q9C0A6,1,9
Q9C0A1,1,1
Q9BZE3,1,2
Q9BZD2,1,1
Q9BZ71,1,1
Q9BZ29,1,3
Q9BYV6,1,1
Q9BYV6,1,1
Q9BYR7,1,1
Q9BYH1,1,1
Q9BYG8,1,2
Q9BYG7,1,2
Q9BY89,1,1
Q9BY66,1,10
Q9BY49,1,1
Q9BXX3,1,1
Q9BXW9,1,1
Q9BXT5,1,1
Q9BXS9,1,6
Q9BXS0,1,6
Q9BXM7,1,1
Q9BXJ3,1,2
Q9BXF6,1,1
Q9BXF3,1,1
Q9BXA9,1,2
Q9BX84,1,1
Q9BVI0,1,3
Q9BUG6,1,1
Q9BU40,1,4
Q9BTN0,1,2
Q9BSE2,1,1
Q9BQS2,1,13
Q99985,1,2
Q99836,1,2
Q99743,1,1
Q99717,1,2
Q99504,1,1
Q99487,1,1
Q99435,1,3
Q99102,1,2
Q99081,1,1
Q99081,1,1
Q96TC7,1,1
Q96TA2,1,1
Q96S82,1,1
Q96S15,1,6
Q96S15,1,6
Q96RY5,1,17
Q96RW7,1,1
Q96RW7,1,1
Q96RW7,1,1
Q96RT8,1,2
Q96RL7,1,2
Q96RA2,1,1
Q96QZ7,1,1
Q96QT6,1,1
Q96Q42,1,1
Q96Q42,1,1
Q96Q05,1,3
Q96PY6,1,1
Q96PS8,1,1
Q96PQ6,1,2
Q96PP9,1,1
Q96P69,1,12
Q96NU0,1,2
Q96NL1,1,1
Q96NH3,1,1
Q96NG5,1,2
Q96N76,1,1
Q96N76,1,1
Q96N76,1,1
Q96N58,1,2
Q96N46,1,1
Q96N28,1,1
Q96N06,1,3
Q96ME7,1,1
Q96MB7,1,4
Q96M86,1,1
Q96M86,1,1
Q96M69,1,1
Q96LB3,1,1
Q96L73,1,2
Q96KW2,1,1
Q96K37,1,2
Q96JY6,1,10
Q96JY6,1,10
Q96JQ0,1,1
Q96JP2,1,6
Q96JK9,1,1
Q96JK9,1,1
Q96JG9,1,1
Q96JC1,1,1
Q96JB1,1,1
Q96ID5,1,2
Q96I99,1,1
Q96G28,1,3
Q96FV0,1,3
Q96EZ8,1,1
Q96EV8,1,1
Q96ER9,1,9
Q96EF6,1,1
Q96DZ5,1,1
Q96DU3,1,1
Q96DR7,1,6
Q96DN6,1,1
Q96DL1,1,1
Q96DH6,1,3
Q96AG3,1,1
Q96A46,1,1
Q969Z4,1,1
Q969V6,1,2
Q969I6,1,1
Q969F2,1,11
Q969F1,1,2
Q93074,1,3
Q93038,1,2
Q92954,1,4
Q92859,1,2
Q92843,1,1
Q92793,1,2
Q92766,1,14
Q92667,1,1
Q92667,1,1
Q92637,1,1
